SEASON,PLAYER,GP,MIN,PTS,REB,AST,FG_PCT,FG3_PCT,FT_PCT,TS_PCT,USG_PCT,PACE,LEAGUE_MIN_MEAN,LEAGUE_PTS_MEAN,LEAGUE_REB_MEAN,LEAGUE_AST_MEAN,LEAGUE_FG_PCT_MEAN,LEAGUE_FG3_PCT_MEAN,LEAGUE_FT_PCT_MEAN,LEAGUE_TS_PCT_MEAN,LEAGUE_USG_PCT_MEAN,LEAGUE_PACE_MEAN,GAP_FG3_PCT,GAP_TS_PCT,GAP_FG_PCT,GAP_FT_PCT,GAP_PTS
2009-10,Stephen Curry,80,36.2,17.5,4.5,5.9,0.462,0.437,0.885,0.568,0.215,102.66,21.21395193591455,8.935781041388518,3.7716955941255006,1.6424566088117487,0.4542860518904291,0.2413696650250956,0.719041927718426,0.5279244803876835,0.18716555407209615,98.01423230974633,0.1956303349749044,0.04007551961231648,0.007713948109570934,0.165958072281574,8.564218958611482
2010-11,Stephen Curry,74,33.6,18.6,3.9,5.8,0.48,0.442,0.934,0.595,0.237,97.74,20.98505002942908,8.714067098293112,3.6814008240141263,1.6553266627427896,0.4513805169744429,0.2372380432831467,0.72103147508246,0.5246623847241232,0.18800824014125958,97.79958799293702,0.2047619567168533,0.07033761527587679,0.028619483025557058,0.21296852491754004,9.885932901706889
2011-12,Stephen Curry,26,28.1,14.7,3.4,5.3,0.49,0.455,0.809,0.605,0.23,96.22,21.274207746478872,8.631602112676056,3.7349471830985914,1.8433098591549295,0.44427889934829834,0.2552867652839558,0.720288966587359,0.5150475887038378,0.18654841549295773,95.85683978873239,0.19971323471604424,0.08995241129616216,0.04572110065170165,0.08871103341264108,6.068397887323943
2012-13,Stephen Curry,78,38.2,22.9,4.0,6.9,0.451,0.453,0.9,0.589,0.257,96.55,20.296832884097036,8.266981132075472,3.669272237196765,1.6818733153638814,0.43740659351604383,0.2510911571853057,0.7120089473946315,0.5105622947826232,0.18772708894878706,97.88905660377358,0.2019088428146943,0.07843770521737681,0.013593406483956183,0.18799105260536852,14.633018867924527
2013-14,Stephen Curry,78,36.5,24.0,4.3,8.5,0.471,0.424,0.885,0.61,0.275,98.15,20.37532051282051,8.560384615384615,3.693525641025641,1.709871794871795,0.43920699375501404,0.2523989617907536,0.7146767991694326,0.5181197590096113,0.1872448717948718,99.42727564102563,0.17160103820924638,0.09188024099038872,0.03179300624498593,0.1703232008305674,15.439615384615385
2014-15,Stephen Curry,80,32.7,23.8,4.3,7.7,0.487,0.443,0.914,0.638,0.277,101.47,20.26894673123487,8.589225181598064,3.6690072639225186,1.6955205811138014,0.4434801981691874,0.2664077731872428,0.7163051788236188,0.5221828020737426,0.18582445520581115,99.54573244552057,0.1765922268127572,0.11581719792625744,0.04351980183081261,0.19769482117638126,15.210774818401937
2015-16,Stephen Curry,79,34.2,30.1,5.4,6.7,0.504,0.454,0.908,0.669,0.314,102.75,20.221335697399528,8.545744680851062,3.7069148936170215,1.6693262411347518,0.43815529380818075,0.2666827690014468,0.7137635330050125,0.519354142249631,0.18751004728132387,99.64971631205674,0.18731723099855324,0.1496458577503691,0.06584470619181926,0.19423646699498753,21.55425531914894
2016-17,Stephen Curry,79,33.4,25.3,4.5,6.6,0.468,0.411,0.898,0.624,0.286,103.28,20.054922566371683,8.682356194690264,3.716648230088496,1.692920353982301,0.4428213589341217,0.28397872270010727,0.7184492475033991,0.5276006183241265,0.18628429203539823,100.27457411504425,0.1270212772998927,0.09639938167587347,0.025178641065878304,0.1795507524966009,16.617643805309736
2017-18,Stephen Curry,51,32.0,26.4,5.1,6.1,0.495,0.423,0.921,0.675,0.29,104.92,20.49833001988072,9.148707753479126,3.7864811133200793,1.8271570576540752,0.4440359065278071,0.2962476272130009,0.7265103572419224,0.5288119712996063,0.18849423459244533,101.84003180914513,0.12675237278699908,0.1461880287003937,0.050964093472192884,0.19448964275807767,17.251292246520872
2018-19,Stephen Curry,69,33.8,27.3,5.3,5.2,0.472,0.437,0.916,0.641,0.292,104.18,20.32526356891839,9.340648184303006,3.9642327215931283,1.9110894181960172,0.44510872572186044,0.29750384223771925,0.7173863273970761,0.5266238410850479,0.1890085903943772,104.0937172979305,0.13949615776228075,0.11437615891495212,0.026891274278139532,0.19861367260292395,17.959351815696994
2019-20,Stephen Curry,5,27.9,20.8,5.2,6.6,0.402,0.245,1.0,0.557,0.286,109.39,20.136256028057872,9.199254712845244,3.8018412976764577,1.999736957474792,0.45658164019663094,0.3116913313003106,0.7174961006401478,0.5537418856071799,0.18494782989916703,104.5585094256905,-0.06669133130031063,0.0032581143928201994,-0.05458164019663092,0.2825038993598522,11.600745287154757
2020-21,Stephen Curry,63,34.2,32.0,5.5,5.8,0.482,0.421,0.916,0.655,0.331,105.16,20.385609532538954,9.218423464711273,3.8504124656278647,2.0098991750687443,0.45521756509462385,0.310083009977204,0.7475326226242881,0.5566776225568442,0.18389092575618698,102.28943171402382,0.11091699002279598,0.09832237744315586,0.02678243490537613,0.16846737737571194,22.78157653528873
2021-22,Stephen Curry,64,34.5,25.5,5.2,6.3,0.437,0.38,0.923,0.601,0.293,100.83,20.161033950617284,9.123456790123457,3.8543209876543214,2.028472222222222,0.45364556024601305,0.3054564846318416,0.7007064224396926,0.5449066065284534,0.18297993827160494,103.20251157407408,0.0745435153681584,0.056093393471546626,-0.016645560246013047,0.22229357756030743,16.376543209876544
2022-23,Stephen Curry,56,34.7,29.4,6.1,6.3,0.493,0.427,0.915,0.656,0.297,104.68,20.674792243767314,9.569759926131116,3.8638042474607572,2.0754847645429364,0.4609348571734819,0.31494579916751525,0.7221695450810154,0.563052905657681,0.18526361957525392,102.95664819944598,0.11205420083248474,0.09294709434231907,0.03206514282651807,0.19283045491898465,19.830240073868882
2023-24,Stephen Curry,74,32.7,26.4,4.5,5.1,0.45,0.408,0.923,0.616,0.302,101.9,20.327627494456763,9.433569844789357,3.7892239467849227,2.1841685144124168,0.4557687199490387,0.31392888993603674,0.7178248187125318,0.555659434801958,0.1844541019955654,103.46989800443458,0.09407111006396324,0.060340565198041984,-0.005768719949038714,0.20517518128746826,16.96643015521064
2024-25,Stephen Curry,70,32.2,24.5,4.4,6.0,0.448,0.397,0.933,0.618,0.286,101.72,20.48885690789474,9.538240131578947,3.916981907894737,2.106003289473684,0.45354684931836736,0.31396805668999317,0.7173445470399707,0.5567766256128471,0.1846517269736842,102.62812088815788,0.08303194331000685,0.06122337438715286,-0.005546849318367353,0.2156554529600293,14.961759868421053
